[3] NVIDIA A100-SXM4-80GB | 43°C,  99 % | 28782 / 81920 MB | wangzehua(28746M)
[5] NVIDIA A100-SXM4-80GB | 40°C,  99 % | 22722 / 81920 MB | wangzehua(22630M)
[6] NVIDIA A100-SXM4-80GB | 40°C,  99 % | 17226 / 81920 MB | wangzehua(17126M)
[7] NVIDIA A100-SXM4-80GB | 43°C, 100 % | 16240 / 81920 MB | wangzehua(16224M)
org tp1 pp4

[3] NVIDIA A100-SXM4-80GB | 42°C,  98 % | 16046 / 81920 MB | wangzehua(16010M)
[4] NVIDIA A100-SXM4-80GB | 44°C, 100 % | 22273 / 81920 MB | root(22260M)
[5] NVIDIA A100-SXM4-80GB | 36°C,  99 % | 15362 / 81920 MB | wangzehua(15270M)
[6] NVIDIA A100-SXM4-80GB | 39°C,  98 % | 15050 / 81920 MB | wangzehua(14950M)
[7] NVIDIA A100-SXM4-80GB | 48°C,  99 % | 19386 / 81920 MB | wangzehua(19370M)
